Ranking população;País;População;Ranking covid;Infectados;Recuperados;Mortes;Continente
55;Cameroon;24348251;104;40622;35261;601;Africa
34;Uganda;42885900;105;40607;15099;334;Africa
51;Ivory Coast;27087732;106;38923;35923;215;Africa
69;Senegal;17223497;107;37428;33643;995;Africa
73;Zimbabwe;15790716;108;36611;34226;1509;Africa
144;Botswana;2410338;109;35493;31128;458;Africa
140;Jamaica;2734093;110;33366;15615;511;Outros Continentes
63;Malawi;18898441;111;33045;27532;1091;Africa
53;Australia;25765458;112;29166;26235;909;Outros Continentes
33;Sudan;43315390;113;29135;23583;1959;Africa
174;Malta;514564;114;27515;24118;363;Outros Continentes
22;Thailand;66624230;115;27494;26377;89;Outros Continentes
179;Maldives;383135;116;22147;19642;64;Outros Continentes
52;Madagascar;26923353;117;21826;20670;337;Africa
45;Angola;32097671;118;21558;20028;522;Africa
76;Rwanda;12955768;119;20551;19007;284;Africa
185;French Polynesia;278400;120;18566;4842;141;Outros Continentes
77;Guinea;12907395;121;18285;15801;106;Africa
129;Mauritania;4271197;122;17521;16821;445;Africa
146;Gabon;2233272;123;17297;15102;105;Africa
159;Eswatini;1093238;124;17257;15885;663;Africa
66;Syria;18276000;125;16776;11231;1120;Outros Continentes
184;French Guiana;281612;126;16764;9995;87;Outros Continentes
172;Cabo Verde;563198;127;16298;15646;158;Africa
97;Tajikistan;9313800;128;13308;13218;90;Outros Continentes
81;Haiti;11743017;129;12686;10331;251;Outros Continentes
59;Burkina Faso;21510181;130;12399;11978;144;Africa
177;Belize;419199;131;12396;12020;316;Outros Continentes
206;Andorra;78015;132;11393;10904;113;Outros Continentes
103;Hong Kong;7474200;133;11351;10824;203;Outros Continentes
149;Lesotho;2007201;134;10530;3922;309;Africa
72;Somalia;16360000;135;9600;4329;392;Africa
165;Guyana;743699;136;9322;8381;209;Outros Continentes
60;Mali;20856000;137;9118;6574;366;Africa
171;Suriname;590100;138;9042;8532;176;Outros Continentes
178;Bahamas;393450;139;8800;7676;186;Outros Continentes
196;Aruba;111904;140;8582;8143;81;Outros Continentes
102;Togo;7886000;141;8551;7026;98;Africa
155;Trinidad and Tobago;1366725;142;7812;7549;140;Outros Continentes
154;Equatorial Guinea;1454789;143;6666;6121;100;Africa
112;Nicaragua;6527691;144;6582;4225;176;Outros Continentes
79;Benin;12506347;145;6501;5552;81;Africa
160;Djibouti;976107;146;6452;6022;63;Africa
181;Iceland;368590;147;6091;6030;29;Outros Continentes
192;Curacao;156223;148;5520;4761;23;Outros Continentes
145;Gambia;2335504;149;5085;4620;158;Africa
56;Niger;24112753;150;4904;4525;185;Africa
134;Mongolia;3367956;151;4498;3212;4;Outros Continentes
71;Chad;16818391;152;4380;3864;157;Africa
224;San Marino;33600;153;4292;3758;78;Outros Continentes
223;Gibraltar;34003;154;4270;4148;94;Outros Continentes
190;Saint Lucia;178696;155;4097;3865;55;Outros Continentes
101;Sierra Leone;8297882;156;3942;2783;79;Africa
163;Comoros;758316;157;3657;3465;146;Africa
204;Seychelles;98462;158;3566;2962;16;Africa
152;Guinea-Bissau;1646077;159;3518;2806;54;Africa
183;Barbados;288000;160;3471;3285;39;Outros Continentes
48;Yemen;30491000;161;3126;1520;723;Outros Continentes
132;Eritrea;3601000;162;3078;2770;7;Africa
220;Liechtenstein;39062;163;2620;2526;56;Outros Continentes
15;Vietnam;97580000;164;2570;2198;35;Outros Continentes
98;Papua New Guinea;9122994;165;2479;846;31;Outros Continentes
78;Burundi;12574571;166;2461;773;3;Africa
123;New Zealand;5121423;167;2434;2311;26;Outros Continentes
221;Monaco;38100;168;2149;1945;27;Outros Continentes
188;Sao Tome and Principe;214610;169;2114;1920;34;Africa
125;Liberia;4661010;170;2042;1899;85;Africa
197;Saint Vincent and the Grenadines;110696;171;1684;1506;9;Outros Continentes
222;Saint Maartin;34065;172;1602;1399;12;Outros Continentes
74;Cambodia;15552211;173;1541;898;1;Outros Continentes
205;Isle of Man;83314;174;1383;470;26;Outros Continentes
203;Antigua and Barbuda;99337;175;1008;598;27;Outros Continentes
57;Taiwan;23539588;176;998;958;10;Outros Continentes
164;Bhutan;756129;177;868;867;1;Outros Continentes
158;Mauritius;1266030;178;762;592;10;Africa
209;Bermuda;64055;179;740;699;12;Outros Continentes
233;Saint Barthelemy;10124;180;712;462;1;Outros Continentes
217;Faroe Islands;53022;181;661;657;1;Outros Continentes
24;Tanzania;59441988;182;509;183;21;Africa
208;Cayman Islands;64958;183;474;441;2;Outros Continentes
230;Wallis and Futuna;11558;184;276;7;0;Outros Continentes
157;East Timor;1317780;185;229;110;0;Outros Continentes
207;Dominica;72000;186;156;141;0;Outros Continentes
195;Grenada;113000;187;154;151;1;Outros Continentes
226;British Virgin Islands;30000;188;153;131;1;Outros Continentes
176;Brunei;459500;189;141;138;2;Outros Continentes
186;New Caledonia;271407;190;96;58;0;Outros Continentes
161;Fiji;889327;191;66;63;2;Outros Continentes
105;Laos;7337783;192;49;45;0;Outros Continentes
167;Macau;683100;193;48;47;0;Outros Continentes
215;Saint Kitts and Nevis;54000;194;44;42;0;Outros Continentes
136;Puerto Rico;3193694;195;39;1;2;Outros Continentes
191;Guam;178306;196;32;0;1;Outros Continentes
213;Greenland;56421;197;31;31;0;Outros Continentes
241;Vatican City;825;198;27;15;0;Outros Continentes
229;Anguilla;15000;199;21;18;0;Outros Continentes
236;Montserrat;5000;200;20;19;1;Outros Continentes
166;Solomon Islands;721455;201;18;16;0;Outros Continentes
201;U.S. Virgin Islands;104000;202;17;0;0;Outros Continentes
170;Western Sahara;612000;203;10;8;1;Africa
214;Marshall Islands;54516;204;4;4;0;Outros Continentes
189;Samoa;204138;205;3;2;0;Outros Continentes
182;Vanuatu;301295;206;3;1;0;Outros Continentes
151;Kosovo;1782115;207;2;0;0;Outros Continentes
173;Micronesia;552779;208;1;1;0;Outros Continentes
